,Date,Average_Iron_Ore_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
1016,2009Q3,89.0,Mundijong,385000,4.0,2,6123,Perth
1018,2009Q3,89.0,Boya,631000,4.0,2,6056,Perth
1020,2009Q3,89.0,Samson,475000,4.0,2,6163,Perth
1023,2009Q3,89.0,Mahogany Creek,555000,4.0,2,6072,Perth
1029,2009Q3,89.0,Herne Hill,330000,4.0,2,6056,Perth
1036,2009Q3,89.0,Belhus,980000,4.0,2,6069,Perth
1037,2009Q3,89.0,Karawara,740000,4.0,2,6152,Perth
1038,2009Q3,89.0,Forrestdale,1100000,4.0,2,6112,Perth
1039,2009Q3,89.0,Wooroloo,415000,4.0,2,6558,Perth
1040,2009Q3,89.0,Hazelmere,610000,4.0,2,6055,Perth
1041,2009Q3,89.0,Boya,620000,4.0,2,6056,Perth
1042,2009Q3,89.0,Kiara,400000,4.0,2,6054,Perth
1043,2009Q3,89.0,Mundijong,388000,4.0,2,6123,Perth
1045,2009Q3,89.0,North Lake,538000,4.0,2,6163,Perth
1048,2009Q4,102.73333333333333,Kiara,365000,4.0,2,6054,Perth
1050,2009Q4,102.73333333333333,Carmel,670000,4.0,2,6076,Perth
1052,2009Q4,102.73333333333333,Champion Lakes,185000,4.0,2,6111,Perth
1054,2009Q4,102.73333333333333,Coolbinia,1188000,4.0,2,6050,Perth
1056,2009Q4,102.73333333333333,Upper Swan,485000,4.0,2,6069,Perth
1057,2009Q4,102.73333333333333,Mundijong,880000,4.0,2,6123,Perth
1060,2009Q4,102.73333333333333,Kiara,380000,4.0,2,6054,Perth
1063,2009Q4,102.73333333333333,Kiara,445000,4.0,2,6054,Perth
1064,2009Q4,102.73333333333333,Gnangara,1100000,4.0,2,6077,Perth
1070,2009Q4,102.73333333333333,Woodbridge,583000,4.0,2,6056,Perth
1073,2009Q4,102.73333333333333,Wungong,725000,4.0,2,6112,Perth
1075,2009Q4,102.73333333333333,North Lake,930000,4.0,2,6163,Perth
1078,2009Q4,102.73333333333333,Sawyers Valley,695000,4.0,2,6074,Perth
1083,2009Q4,102.73333333333333,Karawara,745000,4.0,2,6152,Perth
1084,2009Q4,102.73333333333333,Samson,570000,4.0,2,6163,Perth
1086,2009Q4,102.73333333333333,Sawyers Valley,767000,4.0,2,6074,Perth
1091,2009Q4,102.73333333333333,Viveash,575000,4.0,2,6056,Perth
1099,2009Q4,102.73333333333333,Brigadoon,960000,4.0,2,6069,Perth
1101,2009Q4,102.73333333333333,Belhus,955000,4.0,2,6069,Perth
1103,2009Q4,102.73333333333333,Mardella,915000,4.0,2,6125,Perth
1104,2009Q4,102.73333333333333,Kiara,445000,4.0,2,6054,Perth
1114,2010Q1,135.56666666666666,Samson,400000,4.0,2,6163,Perth
1115,2010Q1,135.56666666666666,Woodbridge,1075000,4.0,2,6056,Perth
1116,2010Q1,135.56666666666666,Samson,495000,4.0,2,6163,Perth
1118,2010Q1,135.56666666666666,Champion Lakes,750000,4.0,2,6111,Perth
1122,2010Q1,135.56666666666666,Gnangara,900000,4.0,2,6077,Perth
1125,2010Q1,135.56666666666666,Karawara,580000,4.0,2,6152,Perth
1127,2010Q1,135.56666666666666,Sawyers Valley,549500,4.0,2,6074,Perth
1128,2010Q1,135.56666666666666,Mahogany Creek,605000,4.0,2,6072,Perth
1130,2010Q1,135.56666666666666,Brigadoon,900000,4.0,2,6069,Perth
1131,2010Q1,135.56666666666666,Daglish,1350000,4.0,2,6008,Perth
1135,2010Q1,135.56666666666666,Daglish,1350000,4.0,2,6008,Perth
1136,2010Q1,135.56666666666666,Woodbridge,1100000,4.0,2,6056,Perth
1137,2010Q1,135.56666666666666,Viveash,500000,4.0,2,6056,Perth
1138,2010Q1,135.56666666666666,Karawara,785000,4.0,2,6152,Perth
1140,2010Q1,135.56666666666666,Menora,1760000,4.0,2,6050,Perth
1143,2010Q1,135.56666666666666,Ashfield,535000,4.0,2,6054,Perth
